"X1","X2","X3","X4","X5","cus_id"
"FLORBÚ","NUTELLA","MILKA","CHIPS.AHOY","LAMBERTZ","3489804"
"CHIPS.AHOY","LAMBERTZ","NACIONAL","OREO","DU.BOIS.DE.LA.ROCHE","3489945"
"BALCONI","ARTIACH","CHIPS.AHOY","NUTELLA","TRIUNFO","3509691"
"PROALIMENTAR","MARILAN","BALCONI","LA.BURGALESA","CHIPS.AHOY","3509800"
"LAMBERTZ","FRUTOP","CHIPS.AHOY","FLORBÚ","BELVITA","3519981"
"LA.BURGALESA","CARR.S","CUETARA","SNAPPY","CHIPS.AHOY","3529748"
"CHIPS.AHOY","NUTELLA","FLORBÚ","BAHLSEN","DISNEY","3629797"
"CHIPS.AHOY","LAMBERTZ","NACIONAL","OREO","DU.BOIS.DE.LA.ROCHE","3689897"
"BALCONI","FRUTOP","CHIPS.AHOY","SABOROSA","FLORBÚ","3709783"
"OREO","GULLON","CHIPS.AHOY","NUTELLA","TRIUNFO","3709984"
"SABOROSA","BAHLSEN","OREO","FILIPINOS","DU.BOIS.DE.LA.ROCHE","3759797"
"CHIPS.AHOY","SNAPPY","CARR.S","MCVITIES","FLORBÚ","3849717"
"BALCONI","CUETARA","MARILAN","NACIONAL","CHIPS.AHOY","3869942"
"DELIPICK.","SNAPPY","OREO","NACIONAL","LAMBERTZ","3989575"
"OREO","SABOROSA","FRUTOP","MILKA","INSULAR","4019679"
"LAMBERTZ","JACOBS","MCVITIES","FLORBÚ","CHIPS.AHOY","4029695"
"NACIONAL","INSULAR","FRUTOP","CHIPS.AHOY","MARILAN","4069735"
"CHIPS.AHOY","FLORBÚ","DELIPICK.","NACIONAL","BALCONI","4239950"
"DAN.CAKE","FLORBÚ","NUTELLA","GULLON","OREO","4309605"
"CHIPS.AHOY","SABOROSA","SNAPPY","MCVITIES","FRUTOP","4319967"
"PROALIMENTAR","CHIPS.AHOY","FLORBÚ","INSULAR","DAILIDOCE","4369928"
"FRUTOP","SABOROSA","BALCONI","CHIPS.AHOY","INSULAR","4369949"
"CARR.S","FLORBÚ","DU.BOIS.DE.LA.ROCHE","CHIPS.AHOY","SNAPPY","4419627"
"CARR.S","INSULAR","MARILAN","SNAPPY","CHIPS.AHOY","4459951"
"CHIPS.AHOY","TRIUNFO","LAMBERTZ","NACIONAL","PROALIMENTAR","4509747"
"NUTELLA","FLORBÚ","LAMBERTZ","JACOBS","CHIPS.AHOY","4529875"
"DAILIDOCE","CHIPS.AHOY","PROALIMENTAR","LA.BURGALESA","INSULAR","4559994"
"FLORBÚ","NUTELLA","LAMBERTZ","CHIPS.AHOY","FRUTOP","4569688"
"MILKA","DELIPICK.","VIEIRA..DE.CASTRO","FLORBÚ","CHIPS.AHOY","4589586"
"NACIONAL","CARR.S","CHIPS.AHOY","BAUDUCCO","FLORBÚ","4589591"
"OREO","SABOROSA","MCVITIES","ARTIACH","FRUTOP","4609812"
"NACIONAL","BALCONI","ARTIACH","LAMBERTZ","CHIPS.AHOY","4669939"
