cust_id,X1,X2,X3,X4,X5,revenue,avg_discount_rate,discount,profit,,total discount,total_profit
53449947,0.00,0.00,0.00,2.13,0.00,2.13,0.26,0.55,1.58,,,
53529990,0.00,0.00,0.00,10.83,0.00,10.83,0.20,2.20,8.64,,,
53629714,0.00,8.52,0.00,0.00,0.00,8.52,0.34,2.86,5.66,,,
53649964,6.39,0.00,0.00,0.00,0.00,6.39,0.39,2.50,3.90,,,
53659748,0.00,0.00,0.00,6.39,0.00,6.39,0.35,2.25,4.14,,,
53709851,0.00,6.39,0.00,0.00,0.00,6.39,0.30,1.95,4.44,,,
53709984,0.00,0.00,8.67,0.00,0.00,8.67,0.24,2.05,6.62,,,
53759799,2.13,0.00,0.00,2.17,0.00,4.30,0.30,1.31,2.99,,,
53789855,4.26,0.00,0.00,0.00,0.00,4.26,0.17,0.71,3.55,,,
53819793,0.00,10.65,0.00,0.00,0.00,10.65,0.17,1.83,8.82,,,
53849921,0.00,0.00,8.52,0.00,0.00,8.52,0.19,1.64,6.88,,,
53989880,0.00,0.00,0.00,0.00,8.52,8.52,0.40,3.43,5.09,,,
54009814,8.67,0.00,0.00,0.00,0.00,8.67,0.17,1.49,7.17,,,
54049864,0.00,0.00,0.00,0.00,10.65,10.65,0.25,2.61,8.04,,,
54079912,0.00,0.00,4.26,0.00,0.00,4.26,0.16,0.67,3.59,,,
54099615,0.00,6.39,0.00,0.00,0.00,6.39,0.18,1.14,5.25,,,
54179843,0.00,0.00,19.17,0.00,0.00,19.17,0.35,6.70,12.47,,,
54219546,0.00,10.83,0.00,0.00,0.00,10.83,0.10,1.06,9.77,,,
54279893,0.00,0.00,0.00,10.65,0.00,10.65,0.27,2.87,7.78,,,
54339683,0.00,0.00,0.00,0.00,4.26,4.26,0.28,1.19,3.07,,,
54339877,0.00,25.57,0.00,0.00,0.00,25.57,0.32,8.26,17.30,,,
54449732,0.00,4.33,0.00,0.00,0.00,4.33,0.38,1.67,2.66,,,
54589898,2.17,0.00,0.00,0.00,0.00,2.17,0.37,0.80,1.37,,,
54599800,0.00,0.00,6.39,0.00,0.00,6.39,0.10,0.62,5.77,,,
54689670,0.00,0.00,0.00,8.52,0.00,8.52,0.32,2.77,5.76,,,
54839800,6.39,0.00,0.00,0.00,0.00,6.39,0.11,0.73,5.66,,,
54869841,0.00,0.00,0.00,0.00,6.50,6.50,0.32,2.06,4.44,,,
54969569,0.00,0.00,6.39,0.00,0.00,6.39,0.42,2.71,3.68,,,
54969865,0.00,0.00,12.78,0.00,0.00,12.78,0.39,5.05,7.74,,,
54989628,36.22,0.00,0.00,0.00,0.00,36.22,0.18,6.41,29.81,,,
55119753,0.00,0.00,0.00,2.17,0.00,2.17,0.34,0.73,1.44,,,
55129810,0.00,0.00,2.17,0.00,0.00,2.17,0.31,0.68,1.49,,,
55139560,0.00,0.00,6.39,0.00,0.00,6.39,0.40,2.54,3.85,,,
55149832,0.00,12.78,0.00,0.00,0.00,12.78,0.41,5.19,7.59,,,
55169787,6.50,0.00,0.00,0.00,0.00,6.50,0.20,1.32,5.18,,,
55239784,6.39,0.00,0.00,0.00,0.00,6.39,0.38,2.43,3.96,,,
55259950,0.00,0.00,6.39,0.00,0.00,6.39,0.27,1.73,4.66,,,
55399866,0.00,0.00,0.00,0.00,4.26,4.26,0.00,0.00,4.26,,,
55409579,0.00,0.00,4.26,0.00,0.00,4.26,0.15,0.63,3.63,,,
55539869,12.78,0.00,0.00,0.00,0.00,12.78,0.04,0.51,12.28,,,
55559919,0.00,0.00,0.00,0.00,19.17,19.17,0.29,5.52,13.66,,,
55579896,0.00,4.33,0.00,0.00,0.00,4.33,0.19,0.80,3.53,,,
55589990,0.00,4.33,0.00,0.00,0.00,4.33,0.37,1.59,2.74,,,
55619636,0.00,0.00,6.50,0.00,0.00,6.50,0.33,2.12,4.38,,,
55659902,0.00,0.00,0.00,4.26,0.00,4.26,0.28,1.21,3.05,,,
55699764,0.00,2.13,0.00,0.00,0.00,2.13,0.18,0.38,1.75,,,
55709533,0.00,4.26,0.00,0.00,0.00,4.26,0.00,0.00,4.26,,,
55849881,0.00,21.66,0.00,0.00,0.00,21.66,0.30,6.49,15.17,,,
55889624,0.00,0.00,0.00,6.39,0.00,6.39,0.11,0.72,5.67,,,
55909600,0.00,0.00,0.00,0.00,6.39,6.39,0.24,1.51,4.88,,,
55919561,4.33,0.00,0.00,0.00,0.00,4.33,0.18,0.77,3.56,,,
56089980,4.26,0.00,0.00,0.00,0.00,4.26,0.26,1.09,3.17,,,
56229619,0.00,0.00,8.52,0.00,0.00,8.52,0.20,1.72,6.81,,,
56229800,0.00,0.00,0.00,8.52,0.00,8.52,0.33,2.80,5.72,,,
56269571,2.13,0.00,0.00,0.00,0.00,2.13,0.08,0.18,1.95,,,
56269748,0.00,0.00,0.00,4.33,0.00,4.33,0.15,0.64,3.69,,,
56269999,0.00,0.00,0.00,4.26,0.00,4.26,0.08,0.35,3.91,,,
56289796,0.00,13.00,0.00,0.00,0.00,13.00,0.50,6.53,6.46,,,
56299930,0.00,0.00,0.00,13.00,0.00,13.00,0.09,1.21,11.79,,,
56569752,2.17,0.00,0.00,0.00,0.00,2.17,0.34,0.74,1.42,,,
56629813,2.17,0.00,0.00,0.00,0.00,2.17,0.37,0.79,1.37,,,
56639598,0.00,4.26,0.00,0.00,0.00,4.26,0.20,0.85,3.41,,,
56669958,6.50,0.00,0.00,0.00,0.00,6.50,0.20,1.29,5.20,,,
56679721,0.00,0.00,6.39,6.50,0.00,12.89,0.34,4.40,8.49,,,
56789778,0.00,8.52,0.00,0.00,0.00,8.52,0.31,2.67,5.85,,,
56829838,0.00,4.26,0.00,0.00,0.00,4.26,0.27,1.13,3.13,,,
56869794,0.00,8.67,0.00,0.00,6.39,15.06,0.16,2.34,12.71,,,
56939689,0.00,0.00,0.00,0.00,4.33,4.33,0.28,1.21,3.12,,,
57019943,0.00,0.00,4.33,0.00,0.00,4.33,0.30,1.30,3.04,,,
57199920,0.00,0.00,21.31,0.00,0.00,21.31,0.28,6.06,15.25,,,
57269625,0.00,0.00,2.17,0.00,0.00,2.17,0.35,0.77,1.40,,,
57369659,2.13,0.00,0.00,0.00,0.00,2.13,0.14,0.29,1.84,,,
57369892,0.00,0.00,0.00,10.83,0.00,10.83,0.32,3.52,7.31,,,
57399788,0.00,6.39,0.00,0.00,0.00,6.39,0.33,2.08,4.31,,,
57419910,0.00,0.00,8.52,0.00,0.00,8.52,0.39,3.28,5.24,,,
57459952,0.00,0.00,0.00,8.52,0.00,8.52,0.34,2.91,5.62,,,
57589744,0.00,0.00,6.39,0.00,0.00,6.39,0.34,2.16,4.23,,,
57669579,10.65,4.33,0.00,0.00,0.00,14.99,0.31,4.67,10.32,,,
57679879,0.00,0.00,0.00,0.00,17.33,17.33,0.34,5.96,11.37,,,
57709953,0.00,0.00,0.00,0.00,6.50,6.50,0.20,1.29,5.20,,,
57749865,0.00,0.00,0.00,21.31,0.00,21.31,0.33,6.98,14.32,,,
57759832,0.00,0.00,8.52,0.00,0.00,8.52,0.42,3.54,4.98,,,
57779591,0.00,6.39,0.00,0.00,0.00,6.39,0.45,2.89,3.50,,,
57799942,0.00,0.00,4.26,0.00,0.00,4.26,0.45,1.92,2.35,,,
57889720,0.00,0.00,0.00,0.00,8.52,8.52,0.39,3.30,5.23,,,
57919957,0.00,4.33,0.00,0.00,0.00,4.33,0.36,1.58,2.76,,,
57929694,0.00,0.00,0.00,8.52,0.00,8.52,0.19,1.64,6.88,,,
58159858,0.00,6.39,0.00,0.00,0.00,6.39,0.35,2.23,4.16,,,
58209836,8.67,0.00,0.00,0.00,4.26,12.93,0.28,3.65,9.28,,,
58309902,0.00,0.00,6.39,0.00,0.00,6.39,0.17,1.08,5.32,,,
58309983,4.33,0.00,0.00,0.00,0.00,4.33,0.29,1.24,3.09,,,
58349654,0.00,6.39,0.00,0.00,0.00,6.39,0.22,1.44,4.96,,,
58369810,0.00,2.13,0.00,0.00,0.00,2.13,0.30,0.63,1.50,,,
58389878,0.00,6.39,0.00,0.00,0.00,6.39,0.26,1.67,4.72,,,
58439884,12.78,0.00,0.00,0.00,0.00,12.78,0.00,0.00,12.78,,,
58489985,0.00,6.50,0.00,0.00,0.00,6.50,0.38,2.46,4.04,,,
58519636,6.50,0.00,0.00,0.00,0.00,6.50,0.01,0.06,6.44,,,
58529610,0.00,0.00,0.00,4.26,0.00,4.26,0.31,1.31,2.95,,,
58559816,0.00,0.00,6.39,0.00,0.00,6.39,0.32,2.02,4.37,,,
58719644,4.33,0.00,0.00,0.00,0.00,4.33,0.22,0.96,3.37,,,
58769988,6.39,0.00,0.00,0.00,0.00,6.39,0.25,1.61,4.78,,,
58809981,0.00,0.00,25.57,0.00,0.00,25.57,0.23,5.94,19.63,,,
58889636,0.00,4.26,0.00,0.00,0.00,4.26,0.04,0.17,4.09,,,
58899766,0.00,0.00,0.00,4.26,0.00,4.26,0.05,0.21,4.06,,,
58899896,4.33,0.00,0.00,0.00,0.00,4.33,0.43,1.87,2.47,,,
58989946,8.52,0.00,0.00,0.00,0.00,8.52,0.39,3.31,5.21,,,
58999710,6.50,0.00,0.00,0.00,0.00,6.50,0.36,2.33,4.17,,,
59059682,0.00,0.00,0.00,6.39,0.00,6.39,0.48,3.09,3.30,,,
59079912,0.00,0.00,6.39,0.00,0.00,6.39,0.08,0.50,5.89,,,
59089608,6.39,0.00,0.00,0.00,0.00,6.39,0.22,1.40,4.99,,,
59149553,6.50,0.00,0.00,0.00,0.00,6.50,0.22,1.45,5.05,,,
59179893,0.00,0.00,0.00,0.00,8.67,8.67,0.32,2.73,5.93,,,
59249576,0.00,0.00,0.00,44.74,0.00,44.74,0.09,4.06,40.68,,,
59329765,0.00,0.00,0.00,6.50,0.00,6.50,0.00,0.00,6.50,,,
59369945,0.00,0.00,0.00,0.00,17.04,17.04,0.10,1.72,15.32,,,
59369958,0.00,17.04,0.00,0.00,0.00,17.04,0.19,3.20,13.84,,,
59429956,2.13,0.00,0.00,0.00,0.00,2.13,0.28,0.60,1.53,,,
59499720,4.26,0.00,0.00,0.00,0.00,4.26,0.28,1.21,3.05,,,
59509843,0.00,0.00,0.00,10.65,0.00,10.65,0.11,1.22,9.44,,,
59599598,10.65,0.00,0.00,0.00,0.00,10.65,0.18,1.87,8.78,,,
59669797,0.00,6.39,0.00,0.00,0.00,6.39,0.31,1.96,4.43,,,
59689862,0.00,0.00,0.00,4.26,0.00,4.26,0.35,1.50,2.76,,,
59709872,0.00,0.00,0.00,0.00,4.33,4.33,0.29,1.25,3.09,,,
59719854,0.00,0.00,4.26,0.00,0.00,4.26,0.33,1.39,2.87,,,
59749760,0.00,0.00,6.50,0.00,0.00,6.50,0.33,2.11,4.39,,,
59809919,4.26,0.00,0.00,0.00,0.00,4.26,0.37,1.57,2.69,,,
59849516,0.00,0.00,0.00,0.00,4.33,4.33,0.01,0.04,4.29,,,
59909971,2.13,0.00,0.00,0.00,0.00,2.13,0.16,0.33,1.80,,,
59969999,0.00,0.00,6.39,0.00,0.00,6.39,0.05,0.31,6.08,,,
60029755,8.52,0.00,0.00,0.00,0.00,8.52,0.34,2.90,5.62,,,
60119643,0.00,0.00,6.50,0.00,0.00,6.50,0.29,1.88,4.62,,,
