"X1","X2","X3","X4","X5","cus_id"
3,3,2,2,2,"10279748"
3,3,2,3,3,"10359835"
1,1,1,1,1,"10369846"
2,3,3,3,4,"10459935"
4,4,4,4,4,"10469726"
3,4,4,3,3,"10469873"
2,2,2,2,2,"10489785"
3,3,4,3,4,"10529754"
4,4,2,3,2,"10629613"
3,3,2,2,2,"10679950"
3,3,2,3,3,"10709970"
9,6,8,7,6,"10799927"
3,2,2,2,2,"10839858"
2,2,2,1,2,"10939624"
7,7,10,7,8,"11219702"
2,2,2,3,3,"11279674"
3,3,3,3,3,"11309796"
2,2,2,2,2,"11319562"
9,11,7,9,10,"11369915"
2,2,1,2,2,"11389560"
4,4,5,5,5,"11409719"
1,2,2,1,1,"11449698"
2,2,2,2,2,"11469570"
3,3,3,3,3,"11469670"
1,1,1,1,1,"11529864"
1,1,1,1,1,"11549821"
7,10,5,9,9,"11589762"
6,11,3,4,3,"11599805"
4,3,3,3,3,"11599992"
3,4,6,7,4,"11629887"
4,4,4,4,5,"11639959"
9,6,13,9,10,"11719672"
2,2,2,2,1,"11789750"
5,4,4,5,3,"11789884"
3,3,4,3,3,"11789887"
4,4,5,5,4,"11819720"
3,3,3,3,4,"11939871"
2,1,2,2,2,"11939934"
3,2,3,4,4,"11979747"
3,3,2,2,2,"12089735"
4,3,2,2,2,"12109797"
3,3,4,1,2,"12159907"
3,3,3,3,2,"12189994"
2,2,3,2,2,"12299800"
6,6,6,9,7,"12359644"
1,1,3,3,3,"12529942"
5,5,8,8,11,"12559813"
1,2,5,3,4,"12649991"
3,3,3,3,3,"12659995"
1,1,1,1,1,"12739698"
2,2,3,3,3,"12869802"
7,5,2,4,5,"12899960"
1,1,1,1,1,"12949792"
6,5,5,6,6,"13029758"
4,10,5,6,6,"13069651"
2,2,2,2,2,"13079908"
2,8,9,7,10,"13099817"
3,3,3,12,10,"13149827"
11,13,13,13,12,"13169822"
2,3,3,3,2,"13269913"
4,3,3,3,3,"13359664"
2,2,2,2,2,"13359824"
6,5,5,7,9,"13379843"
7,8,1,2,2,"13399563"
2,2,3,2,3,"13439985"
2,2,2,2,2,"13479847"
1,1,1,5,1,"13559676"
2,2,2,2,2,"13559834"
3,2,2,2,2,"13589918"
5,4,5,5,5,"13649822"
5,4,5,4,10,"13679928"
7,6,6,6,6,"13719671"
5,6,5,7,7,"13889806"
6,2,2,2,2,"13899534"
2,2,2,3,3,"13929537"
2,2,2,1,2,"13939792"
8,5,6,4,4,"13949603"
2,1,1,1,1,"13949945"
2,2,2,2,2,"13979913"
2,3,3,2,1,"14029845"
4,3,4,4,3,"14099926"
4,4,4,4,4,"14109606"
1,1,2,2,1,"14159599"
1,1,1,1,1,"14169929"
13,14,14,15,14,"14189592"
2,2,2,2,2,"14239708"
3,3,3,3,2,"14289700"
7,5,5,7,3,"14429859"
6,9,5,6,5,"14459812"
2,3,4,2,2,"14549652"
3,3,3,3,3,"14559662"
1,1,1,1,1,"14669804"
2,3,3,3,2,"14719985"
5,12,21,3,20,"14759822"
2,2,2,2,2,"15009613"
4,3,3,3,3,"15089542"
5,5,7,5,4,"15139814"
15,18,15,15,5,"15149791"
5,4,5,5,8,"15149959"
4,4,4,4,4,"15199829"
2,2,2,2,2,"15239611"
2,2,1,1,1,"15239877"
3,4,3,3,3,"15309821"
3,3,2,2,3,"15369617"
4,4,4,3,4,"15419711"
4,4,3,3,4,"15469869"
1,1,1,1,1,"15519754"
1,1,1,1,1,"15529995"
2,2,1,3,4,"15559932"
2,5,5,5,5,"15599558"
2,1,2,2,2,"15599711"
2,2,2,2,2,"15629981"
2,2,3,2,2,"15749826"
2,3,2,3,3,"15809722"
