"","cust_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",29568,NA,NA,NA,NA,NA,NA,NA,NA,9.87164173916912e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",29909,NA,NA,NA,NA,NA,NA,0.0723282732510244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",39856,NA,NA,NA,NA,0.0233301775249219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",139662,0.0437888832252123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",169587,NA,NA,0.263398755045357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",299749,NA,NA,NA,NA,NA,NA,NA,1.59783035306523e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",499639,0.119787816615629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",509554,NA,NA,NA,0.033825503371522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",579923,NA,NA,NA,0.386806709046787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",619631,NA,NA,NA,NA,NA,NA,NA,0.0154971743526598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",769883,NA,NA,NA,2.66296632662891e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",859909,0.0533974886705834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",919926,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",949967,NA,NA,NA,NA,NA,NA,0.0435353427388734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",989587,NA,NA,NA,0.0206089048435288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1239874,NA,NA,0.789224382519535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1249787,NA,0.34953124510967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1309709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10152048979707e-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1369576,0.00853478563639096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1499624,NA,0.320310948010572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1519567,NA,NA,NA,NA,0.0248295980045355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1529898,NA,NA,NA,NA,NA,NA,NA,NA,0.346922241430797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1549549,0.0610326120250676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1609678,NA,NA,NA,NA,0.0237585763153262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1659549,0.0101054636028989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1839965,NA,NA,NA,NA,0.0359112154177751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1919647,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1999549,NA,NA,NA,0.000131788286171524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2009974,NA,NA,NA,NA,0.0702836772065596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2029760,NA,NA,NA,NA,NA,NA,NA,0.0068651132534068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2049833,NA,NA,0.129886080437317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2089964,0.0036616266509073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2129768,0.0664681946131244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2159905,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2239835,NA,NA,NA,NA,NA,NA,NA,NA,0.334144171031699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2369804,NA,NA,NA,NA,0.0240269119805476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2389788,NA,NA,NA,NA,NA,0.00248881377851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2389823,NA,NA,NA,NA,NA,NA,NA,0.00601972829223779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2409947,0.11026689350391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2499933,NA,NA,NA,NA,NA,NA,0.0388125410791025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2559894,NA,NA,NA,NA,NA,NA,NA,NA,3.68169681168704e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2589576,NA,NA,NA,NA,NA,NA,NA,NA,0.423732700392079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2619622,NA,NA,NA,NA,NA,0.00750581903261777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2759923,NA,NA,NA,NA,NA,NA,NA,0.0116982111257428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2769672,0.0965093144150038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2779946,NA,NA,NA,NA,NA,NA,NA,NA,0.440913645173016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2869574,NA,NA,NA,NA,NA,0.0297447255633022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2969905,NA,NA,NA,NA,NA,0.025254212058792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",3029520,NA,NA,NA,NA,NA,NA,NA,NA,0.0128797400417471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",3029934,0.0987341639094504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",3189822,NA,NA,NA,NA,NA,NA,NA,NA,0.156143443755556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",3189829,NA,NA,NA,NA,NA,NA,0.0765853129776145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",3259553,NA,NA,NA,NA,0.0232096051621116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",3389774,NA,NA,NA,NA,NA,NA,0.0885872880353767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",3409674,0.110971170673937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",3489829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.584011727212212,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",3509800,NA,NA,NA,NA,NA,NA,NA,NA,6.47314898071032e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",3519981,NA,NA,NA,NA,NA,NA,NA,0.000673790085609948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",3519993,NA,NA,NA,NA,NA,NA,0.0495800716659262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",3639760,NA,NA,NA,NA,NA,NA,NA,0.0162526186309612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",3679801,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",3709783,NA,NA,NA,NA,NA,0.00495997635540256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",3709984,0.111036598810375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",3759797,NA,0.31157470046059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",3789930,NA,NA,NA,NA,NA,NA,NA,NA,2.31847820296064e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",3809781,0.0193896253555508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",3809808,NA,NA,NA,NA,NA,NA,2.53004281355078e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",3849717,NA,NA,NA,NA,NA,0.00403041467092157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",3969876,NA,NA,NA,NA,0.0250952818683946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",4029818,NA,NA,NA,NA,NA,NA,NA,0.0127362937373832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",4029893,NA,NA,0.219644397050561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",4139611,NA,NA,NA,NA,NA,0.388031499145098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",4309605,NA,NA,NA,NA,0.0273751563794067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",4339680,NA,NA,NA,NA,NA,0.00502650108455118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",4349684,NA,NA,NA,NA,0.0435283963681398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",4459947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444013961992385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",4529875,5.84116251378331e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",4559994,NA,NA,NA,NA,NA,0.00218041403394419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",4579768,NA,NA,NA,NA,NA,NA,NA,NA,0.0134951363721545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",4619713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.451266273746671,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",4669549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0779606838307379,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",4679726,0.0977881175212494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",4779672,NA,NA,NA,NA,NA,NA,NA,NA,0.0017900067558543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
