"","cust_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",59984,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00748907051219553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",109693,NA,NA,NA,NA,NA,8.03935827923354e-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",169648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0206899519642665,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",199950,NA,NA,NA,NA,NA,NA,NA,0.00576040609113259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",289996,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",309971,NA,NA,NA,NA,NA,NA,0.00035053985861333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",329968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0128604411179704,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",339627,NA,NA,NA,NA,NA,NA,NA,0.0167343500943648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",339918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027862273557267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",340000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0317590923599725,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",459915,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000119976005225478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",559804,NA,NA,NA,NA,NA,NA,NA,NA,0.0269028484758882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",579990,NA,NA,NA,NA,NA,NA,NA,NA,0.0443882406199493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",589766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0229375881151104,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",609815,NA,NA,NA,NA,NA,NA,0.00292221552778617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",609881,NA,NA,NA,NA,NA,2.58158907325542e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",689894,NA,NA,NA,NA,NA,NA,NA,NA,0.00921516421956023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",709543,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",799924,NA,NA,NA,NA,NA,0.164722201051106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",869947,NA,NA,NA,NA,NA,NA,0.104828058893739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",879592,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",879894,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0368231708058729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",909794,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",909861,NA,NA,NA,NA,NA,NA,0.167117787608255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",939843,NA,NA,NA,NA,6.17219245633738e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",969802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0329393427474957,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",969825,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",989713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00184472639960837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1009831,NA,NA,NA,NA,NA,NA,0.0984705636350039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1009995,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1049570,NA,NA,NA,NA,NA,NA,2.90300518591193e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1069886,NA,NA,NA,NA,NA,NA,NA,NA,0.0191193435401674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1079927,NA,NA,NA,NA,NA,NA,NA,0.152294150591819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1129993,NA,NA,NA,NA,NA,NA,NA,0.0181561398590875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1149770,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1179654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.96947509056607e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1249927,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1289567,NA,NA,NA,NA,4.11175046846557e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1309902,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1339981,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026713553994432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1399898,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000106751268588724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1469591,NA,0.243042293956132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1499761,NA,NA,NA,NA,NA,NA,NA,NA,0.0338453603368978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1499909,NA,NA,NA,NA,NA,NA,NA,NA,0.0306425847868134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1569894,NA,NA,NA,NA,NA,NA,NA,NA,0.00301794245342449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1579841,NA,NA,NA,NA,NA,NA,NA,NA,0.0227429353347399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1589813,NA,NA,NA,NA,NA,NA,NA,0.0117587413161928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1619556,NA,NA,NA,NA,NA,NA,3.55649235027884e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1649886,NA,NA,NA,NA,NA,NA,NA,NA,0.00605906287481316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1710000,NA,NA,NA,NA,NA,NA,NA,NA,0.00184729197801382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1799643,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1819868,NA,NA,NA,NA,1.02023971296994e-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1839834,NA,NA,NA,NA,NA,NA,NA,NA,0.0168299097746333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1849794,NA,NA,NA,NA,NA,0.000692438802405956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1949610,NA,NA,NA,NA,NA,1.01088018477867e-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1999671,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2039621,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2049977,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2139816,NA,NA,NA,NA,NA,1.05250892180616e-161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2199975,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2209804,NA,NA,NA,NA,NA,NA,1.22913537624628e-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2249699,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2259776,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2269534,NA,NA,NA,NA,0.892758337643258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2269804,NA,NA,NA,NA,NA,NA,NA,NA,0.0281551969057905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2339637,NA,NA,NA,NA,NA,NA,NA,0.0233852711888832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2389794,NA,NA,NA,NA,NA,NA,NA,NA,0.0210488517123528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2389837,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0151216741533312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2389981,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
